Year,Maize_Type,Area_Cultivated_ha,Rainfall_mm,Avg_Temp_C,Fertilizer_kg_ha,Yield_kg_ha
2005,Local,4.06,877.6,25.32,48.1,1249.7
2005,Hybrid,0.7,1253.5,24.42,53.0,1542.3
2005,OPV,3.39,600.0,25.95,72.4,685.6
2006,Local,3.28,1162.8,24.3,161.3,1002.4
2006,Hybrid,2.4,1600.0,25.39,28.4,1662.2
2006,OPV,1.12,1175.1,24.4,37.6,1673.5
2007,Local,7.0,895.7,24.84,109.1,1288.4
2007,Hybrid,3.46,855.8,27.78,53.3,1455.0
2007,OPV,9.71,1143.7,25.88,185.9,1671.4
2008,Local,4.19,1039.8,25.77,84.2,1143.5
2008,Hybrid,3.17,873.9,25.13,164.4,1293.0
2008,OPV,0.55,1222.3,25.58,151.2,1985.0
2009,Local,7.83,1058.6,24.38,40.9,1257.9
2009,Hybrid,3.64,1295.1,24.82,78.5,1668.6
2009,OPV,7.43,1267.0,25.3,105.0,1792.3
2010,Local,7.73,971.0,26.5,108.9,1291.9
2010,Hybrid,5.47,1020.3,24.94,39.4,1403.2
2010,OPV,3.49,1040.2,25.9,64.9,1342.3
2011,Local,4.4,942.1,25.74,33.9,898.4
2011,Hybrid,9.33,999.6,25.5,176.9,1948.6
2011,OPV,8.13,1374.4,25.18,181.3,1741.2
2012,Local,2.67,1034.5,26.27,174.9,1361.6
2012,Hybrid,0.57,600.0,25.35,60.0,867.5
2012,OPV,9.46,939.5,25.21,146.5,915.1
2013,Local,3.95,1096.3,23.33,74.2,1317.0
2013,Hybrid,0.99,1592.6,25.48,63.1,2025.9
2013,OPV,1.88,1168.0,24.99,63.6,1772.4
2014,Local,2.76,1250.4,24.2,133.8,1979.0
2014,Hybrid,6.52,923.9,25.08,170.4,1277.0
2014,OPV,0.89,986.7,26.71,23.0,1363.3
2015,Local,5.36,1229.8,23.78,51.4,1201.2
2015,Hybrid,9.4,1410.0,24.61,40.4,1579.4
2015,OPV,9.28,1028.7,25.56,138.8,1527.8
2016,Local,5.53,1361.4,24.68,181.5,1773.7
2016,Hybrid,9.05,812.0,26.19,82.9,1326.3
2016,OPV,8.93,1159.4,25.62,35.1,1709.8
2017,Local,2.04,1145.3,25.85,21.7,1319.2
2017,Hybrid,0.55,957.1,25.17,144.5,1209.8
2017,OPV,6.69,1246.9,24.05,62.7,1887.1
2018,Local,6.67,935.9,25.42,122.3,1397.0
2018,Hybrid,1.39,826.0,24.23,63.9,1183.6
2018,OPV,8.97,1168.2,26.21,110.5,1724.8
2019,Local,5.98,818.7,24.97,150.0,922.1
2019,Hybrid,9.43,1196.5,24.88,194.0,2138.7
2019,OPV,9.65,1009.5,25.78,89.3,1249.5
2020,Local,2.11,1271.3,25.71,145.3,1681.7
2020,Hybrid,5.92,1146.2,24.19,198.2,1869.8
2020,OPV,8.84,871.4,25.87,146.4,1529.2
2021,Local,3.92,1281.0,24.4,165.8,1855.5
2021,Hybrid,8.08,1600.0,26.33,163.2,2709.6
2021,OPV,8.96,869.5,23.5,36.9,990.1
2022,Local,4.92,1116.4,23.21,126.3,1517.6
2022,Hybrid,0.79,921.4,24.67,114.0,1245.1
2022,OPV,6.42,1235.9,27.39,134.7,2238.6
